frame,time_fs,temperature_K,pressure_GPa,density_g_cm3,volume_A3,potential_energy_eV_per_atom,kinetic_energy_eV_per_atom,n_atoms
0.0,0.0,1596.792007878778,1.0251486460375956,0.401274728754878,7380.346443406824,-693.2608375420875,0.20640126317579668,297.0
1.0,10.0,1556.6186806185626,1.2315022239990268,0.42844274692371337,6912.350689700022,-693.2577335858585,0.20120846069960055,297.0
2.0,20.0,1646.8854258382025,1.1177155636196587,0.45724680735492096,6476.910214697926,-693.2716750841751,0.21287633612994647,297.0
3.0,30.0,1713.2577243687335,0.8512286242482501,0.4876714238084893,6072.831772808804,-693.2817234848485,0.2214556164551162,297.0
4.0,40.0,1616.3856173865809,1.079549748882623,0.5195569394308841,5700.138507319604,-693.2689393939394,0.20893393226020437,297.0
5.0,50.0,1583.949488994441,1.143810215311483,0.5530654928015631,5354.784479851265,-693.2635732323232,0.20474123976197245,297.0
6.0,60.0,1572.9863473602115,1.3895060597756677,0.5883086577159724,5034.001248074267,-693.2612058080808,0.20332414456703463,297.0
7.0,70.0,1651.309617248048,1.516890726368134,0.6249084693316748,4739.1684743245805,-693.2690446127946,0.2134482069127522,297.0
8.0,80.0,1739.6398147848352,1.7769336521699484,0.6632644960601537,4465.106356192642,-693.2787773569023,0.22486576427664437,297.0
9.0,90.0,1791.3862485050224,2.174221186787338,0.7031305708991569,4211.943897429895,-693.2839330808081,0.23155450597374092,297.0
10.0,100.0,1773.3357516838264,2.8772536583891637,0.7446474533160443,3977.1122616572734,-693.2800925925926,0.22922129956585388,297.0
11.0,110.0,1786.5832918086546,3.407899747146636,0.7867761560151361,3764.1538759826467,-693.2787773569023,0.23093367600702167,297.0
12.0,120.0,1777.7010259586643,3.74458408420013,0.8302764606934246,3566.9402390641035,-693.2744633838383,0.22978555472243642,297.0
